complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount
CP0001,C0464,O00814,APPISSUE,App,HIGH,30/03/25 02:36,OPEN,11,23.99
CP0002,C0056,O00628,MISSEDPICKUP,Phone,MEDIUM,11/07/24 10:05,OPEN,4,21.64
CP0003,C0469,O00384,DELAY,Chatbot,HIGH,01/02/24 15:47,OPEN,16,26.41
CP0004,C0631,O00406,DELAY,App,MEDIUM,14/01/25 13:07,AWAITINGCUSTOMER,7,23.44
CP0005,C0535,O00154,DELAY,Email,MEDIUM,31/08/24 05:56,RESOLVED,1,16.18
CP0006,C0096,O00147,DELAY,App,MEDIUM,22/07/24 07:43,RESOLVED,9,18.51
CP0007,C0597,O00981,MISSEDPICKUP,App,MEDIUM,15/01/25 21:57,ESCALATED,4,14.14
CP0008,C0309,O00902,APPISSUE,Email,HIGH,26/09/24 19:41,RESOLVED,18,0.0
CP0009,C0340,O00011,DELAY,App,LOW,16/08/25 04:19,RESOLVED,4,26.35
CP0010,C0486,O00417,DRIVERBEHAVIOUR,Phone,MEDIUM,13/01/25 15:33,OPEN,1,6.32
CP0011,C0618,O00437,DELAY,App,MEDIUM,29/09/25 06:54,OPEN,15,19.97
CP0012,C0362,O00504,APPISSUE,Email,HIGH,20/09/24 22:57,RESOLVED,12,33.8
CP0013,C0157,O00008,MISSEDPICKUP,Phone,MEDIUM,04/08/24 17:54,RESOLVED,8,15.77
CP0014,C0545,O00980,BILLING,Chatbot,MEDIUM,30/11/24 23:02,RESOLVED,14,7.08
CP0015,C0486,O00417,DELAY,Chatbot,LOW,18/01/25 15:33,OPEN,4,0.0
CP0016,C0234,O00013,MISSEDPICKUP,App,MEDIUM,30/03/24 22:11,RESOLVED,10,0.0
CP0017,C0346,O01181,DELAY,Phone,MEDIUM,03/06/24 23:10,RESOLVED,1,1.16
CP0018,C0100,O01151,MISSEDPICKUP,Chatbot,MEDIUM,07/05/24 12:48,RESOLVED,1,9.39
CP0019,C0228,O00702,APPISSUE,App,MEDIUM,01/07/25 19:23,RESOLVED,1,19.24
CP0020,C0371,O01043,DRIVERBEHAVIOUR,Phone,HIGH,08/04/24 17:26,RESOLVED,11,33.27
CP0021,C0354,O00353,DELAY,Chatbot,MEDIUM,01/09/24 05:14,RESOLVED,5,26.95
CP0022,C0516,O00117,DAMAGE,Chatbot,LOW,18/06/24 09:38,AWAITINGCUSTOMER,10,15.62
CP0023,C0193,O00953,DRIVERBEHAVIOUR,App,LOW,04/03/25 01:07,RESOLVED,14,0.93
CP0024,C0519,O00677,APPISSUE,Chatbot,MEDIUM,03/11/24 05:19,ESCALATED,9,0.0
CP0025,C0617,O00654,DELAY,App,MEDIUM,19/06/25 21:03,RESOLVED,4,11.64
CP0026,C0408,O00810,SUPPORTEXPERIENCE,App,MEDIUM,16/04/24 03:37,RESOLVED,13,18.44
CP0027,C0626,O00948,DELAY,Email,LOW,19/05/25 03:07,RESOLVED,1,2.18
CP0028,C0242,O00920,DELAY,Phone,MEDIUM,08/02/24 11:42,RESOLVED,1,13.31
CP0029,C0477,O00715,MISSEDPICKUP,Chatbot,MEDIUM,27/06/25 13:42,RESOLVED,9,4.01
