customer_id,age,home_zone,customer_type,signup_date,loyalty_score,app_engagement_score,preferred_channel,account_status
C0001,26,NORTH,SME,27/11/24 04:25,44.9,69.2,APP,Active
C0002,61,AIRPORT,Consumer,28/10/25 01:04,55.4,66.6,APP,Active
C0003,66,EAST,Consumer,02/07/25 03:23,75.9,33.8,NOT_SET,Active
C0004,75,CENTRAL,Consumer,19/08/25 01:58,32.5,33.0,APP,Active
C0005,26,RIVERSIDE,Consumer,03/06/25 06:02,55.9,100.0,WEB,Active
C0006,41,WEST,Consumer,29/03/24 13:26,39.9,43.3,WEB,Active
C0007,54,WEST,Consumer,12/03/24 07:05,36.1,39.0,APP,Active
C0008,70,NORTH,SME,18/07/25 13:03,84.6,65.2,WEB,Active
C0009,34,SOUTH,Consumer,02/08/25 03:14,62.6,40.8,APP,Active
C0010,23,WEST,Consumer,07/10/25 20:37,87.2,48.6,PHONE,Active
C0011,49,CENTRAL,Consumer,04/03/24 18:37,79.9,72.5,WEB,Active
C0012,60,AIRPORT,Consumer,10/02/25 01:14,46.3,74.4,APP,Active
C0013,30,EAST,Enterprise,17/02/24 17:54,31.3,51.7,APP,Active
C0014,62,NORTH,Consumer,16/05/24 09:26,94.1,81.0,APP,Active
C0015,37,SOUTH,SME,27/05/24 17:07,54.5,52.8,PHONE,Active
C0016,21,RIVERSIDE,Consumer,07/08/25 09:35,42.7,50.9,WEB,Active
C0017,30,SOUTH,SME,29/11/25 05:06,72.1,55.4,APP,Active
C0018,56,WEST,Consumer,18/08/25 18:40,63.2,49.6,WEB,Dormant
C0019,67,RIVERSIDE,Consumer,11/07/24 11:06,50.3,65.5,APP,Dormant
C0020,67,NORTH,SME,14/07/25 22:04,55.5,60.8,APP,Active
C0021,30,CENTRAL,SME,31/07/25 01:39,63.6,40.8,PHONE,Active
C0022,71,RIVERSIDE,Consumer,29/07/24 15:43,62.2,58.9,APP,Active
C0023,52,SOUTH,Consumer,28/06/25 13:49,73.1,45.2,WEB,Active
C0024,66,WEST,Consumer,17/11/24 14:37,55.3,44.5,APP,Active
C0025,23,RIVERSIDE,Consumer,09/04/25 11:19,55.5,52.8,APP,Active
C0026,34,NORTH,Enterprise,11/09/24 05:44,70.6,74.8,PHONE,Active
C0027,53,WEST,SME,06/09/24 02:36,66.0,60.7,WEB,Dormant
C0028,22,CENTRAL,Consumer,03/11/24 16:31,78.5,79.6,APP,Active
C0029,44,CENTRAL,Consumer,17/12/24 23:28,57.0,85.2,APP,Active
C0030,63,WEST,Consumer,21/10/24 19:04,59.4,54.8,APP,Active
C0031,35,SOUTH,Consumer,30/04/24 16:26,42.5,44.0,WEB,Active
C0032,69,WEST,Consumer,17/06/24 10:09,85.0,40.5,PHONE,Dormant
C0033,58,EAST,Consumer,15/05/25 13:02,38.7,60.8,APP,Active
