incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours
I0001,DL00221,BATTERYALERT,03/11/24 23:46,MEDIUM,ESCALATED,0.0
I0002,DL00578,BATTERYALERT,21/02/24 10:56,LOW,OPEN,0.0
I0003,DL00175,TEMPERATUREISSUE,17/04/25 23:22,MEDIUM,OPEN,0.0
I0004,DL00417,PROOFMISSING,02/09/25 00:16,MEDIUM,CLOSED,9.8
I0005,DL00897,ROUTEDEVIATION,01/04/25 02:49,LOW,OPEN,0.0
I0006,DL00634,CUSTOMERNOSHOW,08/08/25 21:26,HIGH,PENDINGVENDOR,0.0
I0007,DL00495,APPSYNCERROR,23/05/24 02:29,LOW,PENDINGVENDOR,0.0
I0008,DL00602,ROUTEDEVIATION,17/08/24 01:27,MEDIUM,CLOSED,12.1
I0009,DL00636,CUSTOMERNOSHOW,24/08/24 22:28,MEDIUM,CLOSED,15.8
I0010,DL00052,CUSTOMERNOSHOW,05/06/25 14:17,MEDIUM,CLOSED,9.4
I0011,DL00376,CUSTOMERNOSHOW,21/09/24 19:17,MEDIUM,CLOSED,20.4
I0012,DL00366,ROUTEDEVIATION,24/07/25 06:39,MEDIUM,ESCALATED,0.0
I0013,DL00253,BATTERYALERT,30/09/24 07:49,HIGH,CLOSED,20.9
I0014,DL00075,VEHICLEFAULT,08/06/24 04:32,HIGH,OPEN,0.0
I0015,DL00607,PROOFMISSING,09/11/24 17:48,HIGH,CLOSED,10.5
I0016,DL00724,APPSYNCERROR,10/10/24 08:26,LOW,PENDINGVENDOR,0.0
I0017,DL00809,PROOFMISSING,27/02/25 00:31,LOW,CLOSED,10.5
I0018,DL00574,APPSYNCERROR,11/08/25 21:55,HIGH,CLOSED,10.5
I0019,DL00685,BATTERYALERT,02/12/24 07:05,HIGH,CLOSED,11.3
I0020,DL00921,TEMPERATUREISSUE,01/04/25 04:14,CRITICAL,CLOSED,3.3
I0021,DL00186,SAFETYNEARMISS,14/01/24 06:44,MEDIUM,ESCALATED,0.0
I0022,DL00097,BATTERYALERT,17/07/24 01:29,MEDIUM,ESCALATED,0.0
I0023,DL00904,PROOFMISSING,19/08/25 08:30,MEDIUM,ESCALATED,0.0
I0024,DL00850,PROOFMISSING,30/08/25 22:55,LOW,CLOSED,12.0
I0025,DL00413,BATTERYALERT,30/08/24 02:36,MEDIUM,PENDINGVENDOR,0.0
I0026,DL00254,ROUTEDEVIATION,29/12/24 16:12,HIGH,CLOSED,16.8
I0027,DL00474,VEHICLEFAULT,25/02/25 04:16,MEDIUM,CLOSED,4.3
I0028,DL00479,ROUTEDEVIATION,11/03/24 04:12,LOW,CLOSED,21.2
I0029,DL00198,VEHICLEFAULT,12/08/24 08:07,MEDIUM,OPEN,0.0
I0030,DL00448,ROUTEDEVIATION,30/08/24 15:06,LOW,ESCALATED,0.0
I0031,DL00587,PROOFMISSING,01/12/24 10:43,LOW,ESCALATED,0.0
I0032,DL00181,VEHICLEFAULT,26/08/24 02:02,LOW,OPEN,0.0
I0033,DL00694,BATTERYALERT,31/03/24 09:38,MEDIUM,OPEN,0.0
I0034,DL00684,APPSYNCERROR,02/06/24 14:01,MEDIUM,PENDINGVENDOR,0.0
I0035,DL00882,APPSYNCERROR,26/06/24 15:00,LOW,CLOSED,0.8
I0036,DL00272,VEHICLEFAULT,09/02/25 17:36,LOW,CLOSED,7.8
I0037,DL00938,TEMPERATUREISSUE,04/04/24 06:40,HIGH,CLOSED,13.3
I0038,DL00032,PROOFMISSING,29/01/25 06:31,MEDIUM,CLOSED,5.2
I0039,DL00208,SAFETYNEARMISS,13/04/24 05:39,HIGH,CLOSED,2.6
I0040,DL00573,PROOFMISSING,05/08/24 00:38,MEDIUM,ESCALATED,0.0
I0041,DL00072,SAFETYNEARMISS,20/11/25 07:56,MEDIUM,CLOSED,17.3
I0042,DL00547,TEMPERATUREISSUE,10/07/25 21:18,MEDIUM,CLOSED,22.7
I0043,DL00009,APPSYNCERROR,04/12/24 22:42,LOW,OPEN,0.0
I0044,DL00590,PROOFMISSING,31/08/24 06:13,CRITICAL,CLOSED,3.2
I0045,DL00341,BATTERYALERT,14/11/24 01:36,MEDIUM,OPEN,0.0
I0046,DL00014,PROOFMISSING,05/07/24 14:02,HIGH,PENDINGVENDOR,0.0
I0047,DL00919,SAFETYNEARMISS,26/12/25 23:23,MEDIUM,OPEN,0.0
I0048,DL00265,ROUTEDEVIATION,28/06/24 12:42,LOW,CLOSED,2.2
I0049,DL00493,BATTERYALERT,08/09/25 21:45,MEDIUM,CLOSED,24.3
I0050,DL00207,CUSTOMERNOSHOW,17/03/24 01:48,HIGH,OPEN,0.0
I0051,DL00365,CUSTOMERNOSHOW,09/05/25 09:36,LOW,PENDINGVENDOR,0.0
I0052,DL00690,VEHICLEFAULT,12/12/24 07:51,MEDIUM,OPEN,0.0
I0053,DL00864,PROOFMISSING,27/10/25 18:48,CRITICAL,ESCALATED,0.0
I0054,DL00324,PROOFMISSING,14/08/24 07:43,LOW,CLOSED,17.0
I0055,DL00633,ROUTEDEVIATION,12/11/24 06:59,HIGH,OPEN,0.0
I0056,DL00788,VEHICLEFAULT,05/07/25 05:14,LOW,PENDINGVENDOR,0.0
I0057,DL00766,PROOFMISSING,27/01/25 07:52,HIGH,OPEN,0.0
I0058,DL00285,VEHICLEFAULT,22/06/25 16:15,LOW,OPEN,0.0
I0059,DL00670,VEHICLEFAULT,30/08/24 20:57,HIGH,CLOSED,15.7
I0060,DL00080,VEHICLEFAULT,14/10/25 11:03,LOW,CLOSED,1.0
I0061,DL00121,TEMPERATUREISSUE,14/03/24 04:34,MEDIUM,OPEN,0.0
