order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag
O00001,C0292,PASSENGER,20/08/24 14:43,6,AIRPORT,SOUTH,MEDIUM,126.65,APP,0
O00002,C0459,PASSENGER,14/05/24 22:16,24,NORTH,AIRPORT,LOW,109.3,APP,0
O00003,C0161,PASSENGER,09/02/25 14:37,4,WEST,AIRPORT,HIGH,33.5,PHONE,0
O00004,C0520,PARCEL,01/11/25 17:15,2,RIVERSIDE,NORTH,MEDIUM,10.04,APP,1
O00005,C0558,RETAIL,17/02/25 19:32,12,RIVERSIDE,SOUTH,LOW,125.58,PHONE,0
O00006,C0437,RETAIL,08/05/24 04:55,1,CENTRAL,EAST,HIGH,151.44,WEB,1
O00007,C0001,BUSINESS,05/05/24 21:32,2,CENTRAL,AIRPORT,LOW,76.12,APP,0
O00008,C0157,PARCEL,04/03/24 17:54,4,RIVERSIDE,RIVERSIDE,MEDIUM,35.06,PHONE,0
O00009,C0141,RETAIL,10/03/24 23:49,12,NORTH,EAST,CRITICAL,78.93,APP,0
O00010,C0171,RETAIL,29/01/25 00:42,6,SOUTH,NORTH,LOW,34.55,PHONE,0
O00011,C0340,PARCEL,08/04/25 04:19,12,WEST,CENTRAL,LOW,79.1,PHONE,0
O00012,C0567,BUSINESS,16/01/24 12:45,12,EAST,AIRPORT,MEDIUM,135.67,APP,0
O00013,C0234,RETAIL,29/03/24 22:11,24,AIRPORT,CENTRAL,MEDIUM,302.7,APP,0
O00014,C0318,PASSENGER,25/08/24 10:12,6,CENTRAL,CENTRAL,LOW,90.96,PHONE,0
O00015,C0300,BUSINESS,11/09/25 03:04,6,SOUTH,EAST,HIGH,145.58,WEB,0
O00016,C0022,PARCEL,29/07/25 11:51,6,CENTRAL,CENTRAL,MEDIUM,92.66,APP,0
O00017,C0499,PARCEL,27/05/25 09:12,24,AIRPORT,SOUTH,LOW,60.9,APP,0
O00018,C0506,PASSENGER,03/08/24 22:19,6,NORTH,RIVERSIDE,HIGH,121.11,PHONE,0
O00019,C0425,PASSENGER,31/03/24 07:18,6,NORTH,CENTRAL,LOW,56.26,PHONE,0
O00020,C0249,RETAIL,05/09/24 22:25,2,WEST,AIRPORT,MEDIUM,100.78,APP,0
