vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version,vehicle_age_days,incident_count
V001,EV,NORTH,28/12/24 23:48,71.8,56928,Active,v2.2,495,4
V002,EV,AIRPORT,21/04/24 16:14,67.9,159368,InRepair,v2.2,746,1
V003,CargoVan,NORTH,24/11/25 23:59,91.7,219359,Active,v2.1,164,1
V004,Hybrid,RIVERSIDE,06/07/24 13:21,78.0,36310,Active,v2.2,670,1
V005,CargoVan,WEST,15/11/25 11:08,58.6,146638,Active,v2.2,173,5
V006,EV,CENTRAL,22/11/25 06:39,78.6,141381,Active,v2.1,166,3
V007,Diesel,AIRPORT,17/09/25 08:52,68.6,78468,Active,v2.2,232,2
V008,EV,RIVERSIDE,14/06/25 03:47,90.5,49711,Active,v2.0,327,2
V009,CargoVan,SOUTH,05/01/25 08:50,68.8,156687,Active,v2.1,487,5
V010,CargoVan,NORTH,10/07/25 22:40,50.7,129032,InRepair,v2.1,301,3
V011,Diesel,RIVERSIDE,21/12/25 04:26,74.1,43518,InRepair,v2.1,137,0
V012,Hybrid,SOUTH,15/04/24 00:26,56.2,52021,Active,v2.1,752,4
V013,CargoVan,WEST,17/07/25 18:07,68.3,153106,Scheduled,v2.0,294,1
V014,EV,AIRPORT,24/05/25 12:36,100.0,206339,Scheduled,v2.0,348,3
V015,CargoVan,AIRPORT,06/02/24 13:54,78.2,67614,InRepair,v1.9,821,1
V016,EV,WEST,13/10/24 19:38,63.5,84395,Active,v2.1,571,2
V017,Hybrid,RIVERSIDE,23/04/24 12:54,82.4,169703,InRepair,v2.2,744,2
V018,Diesel,RIVERSIDE,04/08/25 22:29,86.8,98363,Scheduled,v2.1,276,1
V019,Diesel,SOUTH,21/10/24 23:22,70.4,151460,Scheduled,v2.2,563,2
V020,Hybrid,RIVERSIDE,26/10/24 11:25,82.3,187051,Scheduled,v2.1,558,4
V021,Diesel,CENTRAL,22/06/25 17:38,83.0,71294,Active,v2.2,319,3
V022,Hybrid,SOUTH,28/01/25 20:20,89.6,44499,Scheduled,v2.1,464,3
V023,Hybrid,EAST,01/07/24 23:54,70.7,188387,Active,v2.1,675,3
V024,EV,EAST,26/05/25 12:28,74.9,56967,Active,v2.1,346,3
V025,Diesel,AIRPORT,11/03/24 05:34,42.0,52074,Active,v2.1,787,4
V026,CargoVan,RIVERSIDE,11/07/24 04:27,78.7,200276,InRepair,v2.2,665,0
V027,Diesel,SOUTH,08/12/25 12:37,78.6,51052,InRepair,v2.2,150,4
V028,EV,EAST,25/08/24 02:52,75.4,149698,Active,v2.0,620,2
V029,EV,NORTH,12/04/24 10:53,78.0,130270,Active,v2.0,755,2
V030,CargoVan,NORTH,14/09/25 07:20,78.0,134360,Active,v2.1,235,6
V031,EV,EAST,28/07/24 13:57,89.3,193526,Active,v1.9,648,1
V032,CargoVan,NORTH,01/11/24 00:03,74.1,102207,Active,v1.9,552,1
V033,EV,AIRPORT,19/09/24 18:57,78.6,55241,InRepair,v2.2,595,2
V034,EV,RIVERSIDE,24/05/25 09:58,94.2,210683,InRepair,v2.0,348,0
V035,CargoVan,EAST,07/03/25 09:34,83.6,73804,Active,v2.0,426,5
V036,Diesel,NORTH,26/09/25 13:33,90.4,215767,InRepair,v2.1,223,3
V037,CargoVan,SOUTH,13/06/25 23:43,56.6,52146,InRepair,v1.9,328,2
V038,CargoVan,CENTRAL,16/03/25 12:29,81.6,68032,Active,v2.1,417,2
V039,EV,EAST,01/01/25 01:38,69.5,37024,InRepair,v1.9,491,3
V040,EV,CENTRAL,23/11/25 11:28,90.0,133770,Active,v2.0,165,1
V041,EV,EAST,01/11/24 21:04,78.4,88129,Active,v2.2,552,0
V042,EV,EAST,21/06/25 07:06,80.5,215870,InRepair,v1.9,320,5
V043,EV,SOUTH,23/02/25 11:32,76.4,149922,Scheduled,v2.0,438,4
V044,EV,AIRPORT,14/02/25 20:35,91.8,111243,Active,v2.2,447,2
V045,EV,EAST,08/10/25 04:56,88.0,190688,Active,v2.2,211,1
V046,EV,NORTH,07/11/24 13:31,95.8,101425,Active,v1.9,546,6
V047,EV,CENTRAL,15/02/25 14:49,93.7,134347,Scheduled,v2.2,446,9
V048,Diesel,CENTRAL,10/01/25 18:21,76.1,87659,Active,v2.1,482,0
V049,Diesel,EAST,12/09/25 16:47,55.9,15278,Active,v2.2,237,2
V050,EV,RIVERSIDE,04/04/24 05:23,96.5,114188,Active,v2.1,763,0
V051,EV,NORTH,21/11/24 11:04,87.8,141107,Active,v2.0,532,1
V052,Hybrid,RIVERSIDE,14/11/24 16:11,95.4,182486,Active,v1.9,539,1
V053,CargoVan,WEST,23/04/24 20:57,73.7,122638,Scheduled,v2.0,744,3
V054,Hybrid,NORTH,28/10/24 22:21,76.7,90558,Scheduled,v2.2,556,3
V055,Hybrid,EAST,06/05/25 13:40,83.3,85635,Active,v2.1,366,1
V056,EV,CENTRAL,06/09/24 16:18,78.4,29849,Active,v2.2,608,2
V057,EV,RIVERSIDE,06/07/25 06:32,76.0,160770,InRepair,v2.0,305,0
V058,Hybrid,CENTRAL,07/11/24 13:11,74.1,15138,Active,v2.0,546,3
V059,Hybrid,AIRPORT,03/02/24 20:36,85.2,188332,InRepair,v2.1,824,3
V060,CargoVan,CENTRAL,09/09/25 03:22,80.2,65113,InRepair,v2.0,240,1
V061,Diesel,SOUTH,08/06/25 20:40,60.3,126438,Active,v2.2,333,0
V062,Hybrid,NORTH,13/02/24 22:26,89.9,113343,Active,v2.0,814,1
V063,EV,CENTRAL,01/11/24 00:19,73.6,159860,Active,v2.1,552,2
V064,CargoVan,WEST,28/12/25 22:35,67.3,219116,InRepair,v2.2,130,1
V065,EV,WEST,01/05/24 09:25,84.3,217057,Active,v2.1,736,1
V066,Hybrid,NORTH,04/10/24 18:00,77.7,98535,Scheduled,v2.2,580,1
V067,Hybrid,CENTRAL,15/11/25 00:12,57.3,176145,Active,v2.0,173,3
V068,Hybrid,RIVERSIDE,28/06/24 15:49,97.5,73769,InRepair,v2.0,678,3
V069,Hybrid,CENTRAL,20/07/25 18:17,71.4,187158,Active,v2.1,291,4
V070,CargoVan,NORTH,24/10/25 17:32,62.6,39859,InRepair,v2.0,195,1
V071,EV,WEST,27/05/24 18:12,73.8,195310,Scheduled,v1.9,710,2
V072,CargoVan,AIRPORT,24/02/25 19:07,78.1,89109,InRepair,v2.1,437,1
V073,Hybrid,AIRPORT,28/05/24 05:33,78.0,191353,Active,v2.1,709,2
V074,CargoVan,EAST,06/05/25 03:01,62.4,18034,Active,v2.1,366,1
V075,Diesel,WEST,04/12/24 02:10,85.5,32441,InRepair,v2.1,519,1
V076,Diesel,CENTRAL,19/06/25 15:52,65.8,106063,InRepair,v1.9,322,5
V077,EV,SOUTH,23/04/25 19:27,67.6,116877,Scheduled,v2.1,379,2
V078,CargoVan,NORTH,03/04/24 20:00,78.4,153638,Active,v2.1,764,2
V079,EV,AIRPORT,12/01/25 18:20,100.0,117995,Active,v2.2,480,0
V080,EV,EAST,27/05/24 22:15,100.0,68844,Active,v1.9,710,1
V081,EV,WEST,28/12/24 08:10,86.6,165481,Active,v2.2,495,4
V082,EV,CENTRAL,02/03/24 08:40,81.2,81518,Active,v2.1,796,3
V083,CargoVan,NORTH,04/11/24 18:04,79.3,42073,Active,v2.2,549,3
V084,CargoVan,RIVERSIDE,23/12/24 06:28,47.6,53872,InRepair,v2.1,500,3
V085,CargoVan,SOUTH,30/09/25 12:01,87.3,145652,Active,v2.1,219,3
V086,EV,CENTRAL,25/02/24 07:56,82.8,42307,Scheduled,v2.2,802,2
V087,Hybrid,AIRPORT,02/09/25 18:48,49.7,116811,Active,v2.1,247,1
V088,Diesel,NORTH,14/02/24 14:03,80.3,50427,InRepair,v2.1,813,5
V089,CargoVan,CENTRAL,27/09/25 07:15,93.6,136082,InRepair,v1.9,222,2
V090,Hybrid,WEST,16/08/24 01:10,93.8,98472,InRepair,v2.0,629,2
V091,Hybrid,EAST,24/08/25 05:20,58.5,172956,Active,v1.9,256,2
V092,Hybrid,EAST,01/07/24 14:19,80.5,36143,InRepair,v2.1,675,3
V093,CargoVan,CENTRAL,03/04/25 19:16,69.2,119136,Scheduled,v2.0,399,2
V094,CargoVan,CENTRAL,22/05/25 02:15,65.9,159262,Scheduled,v1.9,350,2
V095,CargoVan,RIVERSIDE,24/11/25 12:43,79.0,104553,InRepair,v2.0,164,2
V096,CargoVan,EAST,21/08/25 07:26,85.1,193315,InRepair,v2.0,259,2
V097,EV,CENTRAL,11/12/24 12:56,92.1,18680,Active,v2.1,512,6
V098,Diesel,WEST,29/12/25 15:01,69.7,73011,Active,v2.1,129,2
V099,Hybrid,SOUTH,09/06/24 02:11,65.8,92896,Active,v2.0,697,1
V100,CargoVan,EAST,23/06/24 11:24,60.1,31876,Active,v2.0,683,4
V101,Hybrid,NORTH,07/10/24 00:56,84.8,106932,InRepair,v2.1,577,2
V102,EV,WEST,24/10/24 12:35,77.0,198326,Active,v2.0,560,2
V103,Hybrid,NORTH,01/06/25 03:21,100.0,181609,InRepair,v2.1,340,2
V104,EV,EAST,30/06/25 12:21,73.9,91441,Active,v2.1,311,1
V105,EV,CENTRAL,16/02/25 20:04,78.0,149291,Active,v2.1,445,0
V106,CargoVan,NORTH,05/06/24 13:52,74.9,93084,Active,v2.1,701,2
V107,CargoVan,NORTH,25/12/24 17:15,87.9,96239,Active,v2.0,498,0
V108,Diesel,AIRPORT,31/01/25 06:29,54.6,141290,InRepair,v1.9,461,7
V109,Hybrid,AIRPORT,17/10/24 11:15,60.6,193552,InRepair,v2.1,567,4
V110,EV,EAST,22/03/25 01:17,85.1,63717,Active,v2.1,411,4
V111,EV,WEST,11/11/25 00:21,66.3,208147,Active,v2.1,177,3
V112,EV,SOUTH,06/08/24 07:45,94.1,19121,InRepair,v2.1,639,4
V113,Hybrid,CENTRAL,05/12/24 02:12,58.9,52725,InRepair,v1.9,518,2
V114,Hybrid,NORTH,10/03/24 17:53,90.0,84649,Active,v2.2,788,3
V115,Diesel,SOUTH,05/10/24 17:28,57.9,85919,Active,v2.2,579,1
V116,Diesel,EAST,23/04/25 07:10,62.7,71822,Active,v2.1,379,2
V117,Hybrid,SOUTH,01/11/25 11:13,65.5,163683,Scheduled,v2.2,187,2
V118,Diesel,RIVERSIDE,18/02/25 12:40,78.0,145165,Active,v2.1,443,3
V119,EV,RIVERSIDE,17/08/25 06:19,67.6,215407,InRepair,v2.1,263,2
V120,EV,CENTRAL,05/02/25 16:13,73.6,192246,Active,v2.0,456,2
